id,name,vmax,mslp,category,ace,start_time,end_time,start_lat,start_lon
AL032004,CHARLEY,130,941,4,10.6,2004-08-09 12:00:00,2004-08-14 18:00:00,11.4,-59.2
AL042004,DANIELLE,95,964,2,12.1,2004-08-13 12:00:00,2004-08-21 12:00:00,12.3,-21.8
AL052004,EARL,45,1009,0,0.8,2004-08-13 18:00:00,2004-08-15 18:00:00,9.0,-45.6
AL062004,FRANCES,125,935,4,45.9,2004-08-25 00:00:00,2004-09-08 18:00:00,11.1,-35.2
AL072004,GASTON,65,985,1,2.7,2004-08-27 12:00:00,2004-09-01 06:00:00,31.8,-78.1
AL082004,HERMINE,50,1002,0,1.3,2004-08-27 18:00:00,2004-08-31 06:00:00,29.0,-65.2
AL092004,IVAN,145,910,5,70.4,2004-09-02 18:00:00,2004-09-24 06:00:00,9.7,-27.6
AL102004,UNNAMED,30,1009,-1,0.0,2004-09-07 12:00:00,2004-09-09 06:00:00,31.5,-39.7
AL112004,JEANNE,105,950,3,24.2,2004-09-13 18:00:00,2004-09-28 18:00:00,15.9,-60.0
AL122004,KARL,125,938,4,28.4,2004-09-16 06:00:00,2004-09-24 18:00:00,11.2,-29.2
AL132004,LISA,65,987,1,12.2,2004-09-19 18:00:00,2004-10-03 00:00:00,13.3,-32.4
AL142004,MATTHEW,40,997,0,1.0,2004-10-08 12:00:00,2004-10-10 18:00:00,24.0,-95.4
AL152004,NICOLE,45,986,0,1.2,2004-10-10 06:00:00,2004-10-11 18:00:00,31.0,-66.3
AL162004,OTTO,45,995,0,1.9,2004-11-29 12:00:00,2004-12-03 00:00:00,29.6,-47.9
AL012005,ARLENE,60,989,0,2.6,2005-06-08 18:00:00,2005-06-13 06:00:00,16.9,-84.0
AL022005,BRET,35,1002,0,0.4,2005-06-28 18:00:00,2005-06-30 00:00:00,19.7,-95.4
AL032005,CINDY,65,991,1,1.5,2005-07-03 18:00:00,2005-07-07 06:00:00,18.3,-86.7
AL042005,DENNIS,130,930,4,18.8,2005-07-04 18:00:00,2005-07-13 06:00:00,12.0,-60.8
AL052005,EMILY,140,929,5,32.9,2005-07-11 00:00:00,2005-07-21 12:00:00,10.7,-42.4
AL062005,FRANKLIN,60,997,0,6.7,2005-07-21 18:00:00,2005-07-29 18:00:00,25.0,-75.0
AL072005,GERT,40,1005,0,0.5,2005-07-23 18:00:00,2005-07-25 12:00:00,19.3,-92.9
AL082005,HARVEY,55,994,0,5.4,2005-08-02 18:00:00,2005-08-08 18:00:00,28.2,-68.8
AL092005,IRENE,90,970,2,13.1,2005-08-04 18:00:00,2005-08-18 12:00:00,12.9,-33.5
AL102005,TEN,30,1008,-1,0.0,2005-08-13 12:00:00,2005-08-14 12:00:00,13.3,-43.6
AL112005,JOSE,50,998,0,0.4,2005-08-22 12:00:00,2005-08-23 12:00:00,19.4,-94.5
AL122005,KATRINA,150,902,5,20.0,2005-08-23 18:00:00,2005-08-30 18:00:00,23.1,-75.1
AL132005,LEE,35,1006,0,0.2,2005-08-28 12:00:00,2005-09-02 00:00:00,14.0,-45.1
AL142005,MARIA,100,962,3,14.3,2005-09-01 12:00:00,2005-09-10 06:00:00,18.8,-45.5
AL152005,NATE,80,979,1,7.2,2005-09-05 18:00:00,2005-09-10 12:00:00,28.4,-67.0
AL162005,OPHELIA,75,976,1,15.7,2005-09-06 06:00:00,2005-09-17 18:00:00,25.8,-78.6
AL172005,PHILIPPE,70,985,1,6.0,2005-09-17 12:00:00,2005-09-23 12:00:00,13.3,-54.5
AL182005,RITA,155,895,5,25.1,2005-09-18 00:00:00,2005-09-26 00:00:00,21.3,-69.9
AL192005,NINETEEN,30,1006,-1,0.0,2005-09-30 12:00:00,2005-10-02 12:00:00,11.8,-32.7
AL202005,STAN,70,977,1,2.4,2005-10-01 12:00:00,2005-10-05 06:00:00,18.9,-85.6
AL212005,UNNAMED,45,997,0,0.5,2005-10-04 06:00:00,2005-10-05 00:00:00,34.8,-30.2
AL222005,TAMMY,45,1001,0,0.8,2005-10-05 06:00:00,2005-10-06 18:00:00,27.3,-79.7
AL232005,TWENTY-TWO,30,1008,-1,0.0,2005-10-08 06:00:00,2005-10-10 00:00:00,26.1,-57.4
AL242005,VINCE,65,988,1,2.7,2005-10-08 06:00:00,2005-10-11 12:00:00,32.9,-20.6
AL252005,WILMA,160,882,5,38.9,2005-10-15 18:00:00,2005-10-25 18:00:00,17.6,-78.5
AL262005,ALPHA,45,998,0,0.7,2005-10-22 12:00:00,2005-10-24 18:00:00,15.8,-67.5
AL272005,BETA,100,962,3,6.5,2005-10-26 18:00:00,2005-10-31 00:00:00,10.4,-80.9
AL282005,GAMMA,45,1002,0,1.3,2005-11-14 00:00:00,2005-11-21 00:00:00,13.2,-62.1
AL292005,DELTA,60,980,0,6.0,2005-11-22 18:00:00,2005-11-28 06:00:00,30.7,-40.5
AL302005,EPSILON,75,981,1,13.4,2005-11-29 06:00:00,2005-12-08 12:00:00,31.5,-49.2
AL312005,ZETA,55,994,0,6.3,2005-12-30 00:00:00,2006-01-06 12:00:00,23.9,-35.6
AL012006,ALBERTO,60,995,0,2.8,2006-06-10 06:00:00,2006-06-14 06:00:00,20.0,-85.0
AL022006,UNNAMED,45,998,0,0.6,2006-07-17 06:00:00,2006-07-18 06:00:00,39.1,-66.4
AL032006,BERYL,50,1000,0,2.3,2006-07-18 12:00:00,2006-07-21 12:00:00,32.3,-73.3
AL042006,CHRIS,55,1001,0,2.2,2006-08-01 00:00:00,2006-08-04 00:00:00,16.3,-58.1
AL052006,DEBBY,45,999,0,2.3,2006-08-21 18:00:00,2006-08-26 06:00:00,11.6,-21.7
AL062006,ERNESTO,65,985,1,5.7,2006-08-24 18:00:00,2006-09-01 12:00:00,12.7,-61.6
AL072006,FLORENCE,80,974,1,9.6,2006-09-03 18:00:00,2006-09-12 18:00:00,14.1,-39.4
AL082006,GORDON,105,955,3,22.2,2006-09-10 18:00:00,2006-09-20 18:00:00,20.2,-53.8
AL092006,HELENE,105,955,3,24.3,2006-09-12 12:00:00,2006-09-24 12:00:00,11.9,-22.0
AL102006,ISAAC,75,985,1,6.5,2006-09-27 18:00:00,2006-10-02 18:00:00,26.1,-52.6
AL012007,ANDREA,50,1001,0,0.9,2007-05-09 06:00:00,2007-05-11 00:00:00,30.8,-78.7
AL022007,BARRY,50,997,0,0.8,2007-06-01 12:00:00,2007-06-02 18:00:00,22.3,-85.8
AL032007,CHANTAL,45,994,0,0.7,2007-07-31 00:00:00,2007-08-01 00:00:00,35.5,-66.5
AL042007,DEAN,150,905,5,35.2,2007-08-13 06:00:00,2007-08-23 00:00:00,12.2,-28.9
AL052007,ERIN,35,1003,0,0.4,2007-08-15 00:00:00,2007-08-17 06:00:00,23.7,-90.7
AL062007,FELIX,150,929,5,18.0,2007-08-31 12:00:00,2007-09-05 06:00:00,11.5,-56.6
AL072007,GABRIELLE,50,1004,0,1.5,2007-09-08 00:00:00,2007-09-11 06:00:00,30.1,-71.8
AL082007,INGRID,40,1002,0,1.3,2007-09-12 06:00:00,2007-09-17 00:00:00,13.0,-43.6
AL092007,HUMBERTO,80,985,1,1.8,2007-09-12 12:00:00,2007-09-14 00:00:00,27.8,-95.1
AL102007,TEN,30,1005,-1,0.0,2007-09-21 12:00:00,2007-09-22 00:00:00,29.1,-85.4
AL112007,JERRY,35,1003,0,0.7,2007-09-23 00:00:00,2007-09-24 18:00:00,36.2,-46.1
